drug_name,side_effects,generic_name
Myorisan,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Myorisan may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , ",isotretinoin (oral)
Onexton,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using Onexton and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and clindamycin topical
Phillips' Milk of Magnesia,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Phillips Milk of Magnesia may cause serious side effects. Stop using Phillips Milk of Magnesia and call ",magnesium hydroxide
salicylic acid,"Salicylic acid topical can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using salicylic acid topical and call ",salicylic acid topical
Theramycin Z,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Theramycin Z may cause serious side effects. Call ",erythromycin topical
Absorica LD,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",ISOtretinoin (systemic)
Acne Treatment,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Benzoyl Peroxide Cream
Acnex,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid (topical route)
Ala-Tet,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ala-Tet may cause serious side effects. Call ",tetracycline
Amzeeq,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Serious side effects are unlikely when Amzeeq is applied to the skin, but can occur if the medicine is absorbed into your bloodstream. Amzeeq may cause serious side effects. Call ",minocycline topical
Atralin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Atralin and call ",tretinoin topical
Avita,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Avita may cause serious side effects. Call ",tretinoin topical
Azelex,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",azelaic acid topical
Benzamycin,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have any of these signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and erythromycin topical
benzoyl peroxide / erythromycin,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have any of these signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and erythromycin topical
benzoyl peroxide / sulfur,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Benzoyl Peroxide/Sulfur Gel
Beyaz,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Beyaz and call ","drospirenone, ethinyl estradiol, and levomefolate"
Brodspec,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Brodspec may cause serious side effects. Call ",tetracycline
Cleeravue-M,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",minocycline (topical application route)
clindamycin / tretinoin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",clindamycin and tretinoin (topical)
drospirenone / ethinyl estradiol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",drospirenone and ethinyl estradiol
Dynacin,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",minocycline (oral route)
Estarylla,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",ethinyl estradiol and norgestimate
ethinyl estradiol / norgestimate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",ethinyl estradiol and norgestimate
Gianvi,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",drospirenone and ethinyl estradiol
Loryna,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",drospirenone and ethinyl estradiol
magnesium hydroxide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Magnesium hydroxide may cause serious side effects. Stop using magnesium hydroxide and call ",magnesium hydroxide
minocycline,"hives , itching, severe rash; swollen glands, unusual tiredness, fever, nausea , stomach pain; lower back pain , painful urination, blood or pus in your urine; chest pain, cough with mucus, difficult breathing; jaundice (yellowing of the skin or eyes); swelling of your face, lips, tongue, or throat. Some of these signs of allergic reaction have occurred when minocycline was taken by mouth in a pill form. It is not known whether Arestin minocycline powder would cause these same effects when used in dentistry. Call your dentist at once if you have: tooth pain ; pain or swelling in your gums; fever, swollen glands, rash or itching, joint pain or swelling, muscle aches, general ill feeling; or severe skin reaction--fever, sore throat , swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common side effects of minocycline may include: increased tooth sens",minocycline (mucous membrane powder)
Minolira,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",minocycline (oral route)
Ocella,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",drospirenone and ethinyl estradiol
PanOxyl,"PanOxyl can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
PanOxyl 10% Acne Foaming Wash,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Benzoyl Peroxide Wash and Cleanser
Seysara,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",sarecycline
Sotret,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Sotret may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , jo",isotretinoin (oral)
sulfacetamide sodium/sulfur,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical
tazarotene,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using tazarotene and call ",tazarotene topical
Tri-Previfem,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",ethinyl estradiol and norgestimate (oral route)
Tri-Sprintec,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",ethinyl estradiol and norgestimate (oral route)
Veltin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call ",clindamycin and tretinoin (topical)
Ximino,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",minocycline (oral route)
Zenatane,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Zenatane may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , ",isotretinoin (oral)
Acetoxyl,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Acne-10,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Acne-Clear,"Acne-Clear can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
Acnevir,"Acnevir can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using Acnevir and call ",salicylic acid topical
Acnomel,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",resorcinol and sulfur (topical route)
Acnomel Acne Mask,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid (topical route)
Acnomel BP 5,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Aklief,"Aklief Cream may cause serious side effects including: Local skin irritation . Local skin reactions are common with Aklief Cream, are most likely to happen during the first 4 weeks of treatment and may decrease with continued use. Signs and symptoms of local skin reactions include: redness scaling dryness stinging or burning To help reduce your risk of developing these local skin reactions, when you begin treatment, you should begin applying a moisturizer on your skin as often as needed. Tell your healthcare provider if you develop symptoms of a local skin reaction. Your doctor may tell you to use Aklief Cream less often, or temporarily, or permanently stop your treatment. The most common side effects of Aklief Cream include: itching and sunburn. See What should I avoid while using Aklief Cream? These are not all the possible side effects. For more information, ask your healthcare provider or pharmacist. Call ",trifarotene
Akurza,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid (topical route)
Aliclen,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid (topical route)
Alquam-X Acne Therapy Gel,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",benzoyl peroxide (topical route)
Altabax,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Wipe the ointment off your skin and call ",retapamulin topical
Altreno,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Altreno may cause serious side effects. Call ",tretinoin topical
Arazlo,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Arazlo may cause serious side effects. Stop using Arazlo and call ",tazarotene topical
Avar,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Sulfur and Sulfacetamide Cream and Gel
Avar LS,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Sulfur and Sulfacetamide Foam
Avar LS Cleanser,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ","Sulfur and Sulfacetamide Cleanser, Emulsion, and Wash"
